iter	Passed	Remaining
466	739	843
467	740	841
468	741	839
469	742	837
470	743	834
471	744	832
472	745	830
473	746	828
474	747	825
475	748	823
476	749	821
477	750	819
478	751	817
479	752	815
480	753	812
481	754	810
482	755	808
483	756	806
484	757	804
485	758	802
486	759	800
487	760	798
488	761	796
489	763	794
490	764	792
491	765	790
492	766	788
493	767	785
494	768	784
495	770	782
496	771	780
497	772	778
498	773	776
499	773	773
500	775	772
501	776	770
502	777	768
503	778	766
504	779	764
505	780	762
506	781	760
507	783	758
508	784	756
509	784	754
510	785	752
511	786	749
512	788	748
513	789	746
514	790	744
515	791	742
516	792	740
517	794	739
518	795	737
519	796	735
520	797	733
521	798	731
522	799	728
523	800	727
524	801	725
525	802	723
526	803	721
527	804	718
528	805	716
529	805	714
530	807	712
531	808	710
532	809	708
533	809	706
534	810	704
535	811	702
536	812	700
537	813	698
538	814	696
539	815	694
540	816	692
541	817	690
542	818	688
543	819	686
544	820	684
545	821	682
546	821	680
547	822	678
548	823	676
549	824	674
550	825	672
551	826	671
552	827	669
553	828	667
554	829	665
555	830	663
556	831	661
557	832	659
558	833	657
559	834	655
560	835	653
561	836	651
562	836	649
563	838	647
564	839	645
565	839	644
566	840	642
567	841	640
568	842	638
569	843	636
570	844	634
571	845	632
572	846	630
573	847	628
574	848	627
575	849	625
576	850	623
577	851	621
578	852	619
579	853	617
580	854	615
581	854	614
582	855	612
583	857	610
584	858	608
585	859	606
586	860	605
587	861	603
588	862	601
589	863	600
590	864	598
591	865	596
592	866	594
593	867	592
594	868	590
595	869	589
596	870	587
597	871	585
598	872	583
599	872	581
600	873	580
601	874	578
602	875	576
603	876	574
604	877	572
605	878	571
606	879	569
607	880	567
608	881	565
609	882	563
610	883	562
611	884	560
612	884	558
613	886	557
614	886	555
615	888	553
616	889	551
617	890	550
618	890	548
619	891	546
620	892	544
621	893	542
622	894	541
623	895	539
624	896	538
625	897	536
626	898	534
627	899	532
628	900	531
629	901	529
630	902	527
631	903	526
632	904	524
633	905	522
634	906	520
635	907	519
636	908	517
637	909	515
638	909	514
639	910	512
640	911	510
641	912	508
642	913	507
643	914	505
644	915	503
645	916	502
646	917	500
647	918	498
648	918	497
649	920	495
650	921	493
651	921	492
652	922	490
653	923	488
654	924	487
655	925	485
656	926	483
657	927	482
658	928	480
659	929	478
660	930	477
661	931	475
662	932	473
663	933	472
664	934	470
665	935	469
666	936	467
667	937	465
668	937	464
669	939	462
670	940	460
671	940	459
672	941	457
673	942	456
674	943	454
675	945	453
676	946	451
677	947	450
678	948	448
679	949	446
680	951	445
681	952	444
682	953	442
683	954	440
684	955	439
685	956	437
686	957	436
687	958	434
688	959	433
689	960	431
690	961	429
691	962	428
692	963	426
693	964	425
694	965	423
695	966	422
696	967	420
697	968	418
698	968	417
699	970	415
700	971	414
701	972	412
702	973	411
703	974	409
704	974	407
705	976	406
706	977	405
707	978	403
708	979	402
709	980	400
710	981	399
711	983	397
712	984	396
713	985	394
714	986	393
715	987	391
716	988	390
717	989	388
718	990	387
719	992	385
720	993	384
721	994	382
722	995	381
723	997	380
724	998	378
725	999	377
726	1000	375
727	1001	374
728	1006	374
729	1008	372
730	1009	371
731	1010	369
732	1011	368
733	1012	366
734	1013	365
735	1014	363
736	1015	362
737	1016	361
738	1017	359
739	1019	358
740	1020	356
741	1021	355
742	1023	353
743	1024	352
744	1025	351
745	1027	349
746	1028	348
747	1029	346
748	1030	345
749	1031	343
750	1032	342
751	1034	341
752	1035	339
753	1036	338
754	1037	336
755	1038	335
756	1039	333
757	1040	332
758	1042	330
759	1043	329
760	1044	327
761	1045	326
762	1046	325
763	1047	323
764	1048	322
765	1049	320
766	1050	319
767	1051	317
768	1052	316
769	1053	314
770	1054	313
771	1055	311
772	1056	310
773	1057	308
774	1058	307
775	1059	305
776	1060	304
777	1061	302
778	1062	301
779	1063	299
780	1064	298
781	1065	297
782	1066	295
783	1067	294
784	1068	292
785	1069	291
786	1070	289
787	1071	288
788	1072	286
789	1073	285
790	1074	283
791	1075	282
792	1076	280
793	1077	279
794	1078	278
795	1079	276
796	1080	275
797	1081	273
798	1082	272
799	1082	270
800	1083	269
801	1084	267
802	1085	266
803	1087	264
804	1087	263
805	1088	262
806	1089	260
807	1090	259
808	1091	257
809	1092	256
810	1093	254
811	1094	253
812	1095	251
813	1096	250
814	1097	249
815	1098	247
816	1099	246
817	1100	244
818	1101	243
